id_instituicao_de_ensino,nome_da_ies
34960,"FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO"
34966,FACULDADE DE ENGENHARIA DE RESENDE
35961,FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ
36899,CENTRO UNIVERSITÁRIO ARTHUR SÁ EARP NETO
36913,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA
36918,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO
37743,CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO
38048,UNIVERSIDADE DO SUL DE SANTA CATARINA
38060,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO
38446,UNIVERSIDADE DE RIBEIRÃO PRETO
39324,UNIVERSIDADE DE FRANCA
39374,CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU
39397,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL GUAXUPÉ
39400,UNIVERSIDADE VALE DO RIO DOCE
39521,FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA
40712,CENTRO UNIVERSITÁRIO FLUMINENSE
40735,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM
40965,FACULDADE WENCESLAU BRAZ
41590,CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ
41662,FACULDADES INTEGRADAS CAMPO-GRANDENSES
41667,CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO
41906,FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG
41933,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX
42182,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL
42463,CENTRO UNIVERSITÁRIO DE BARRA MANSA
42609,FACULDADE DE EDUCAÇÃO SÃO LUÍS
44332,UNIVERSIDADE CATÓLICA DO SALVADOR
44704,CENTRO UNIVERSITÁRIO DE VOTUPORANGA
45372,UNIVERSIDADE DE MOGI DAS CRUZES
45601,FACULDADES OSWALDO CRUZ
45680,CENTRO UNIVERSITÁRIO BRAZ CUBAS
45698,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS
45799,CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB
45842,CENTRO UNIVERSITÁRIO CELSO LISBOA
45962,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS
46103,UNIVERSIDADE METODISTA DE PIRACICABA
46116,CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA
46486,FACULDADE DA ALTA PAULISTA
50388,CENTRO UNIVERSITÁRIO DA VITÓRIA DE SANTO ANTÃO
50687,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL
50770,UNIVERSIDADE DO VALE DO PARAÍBA
50774,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO
50781,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA
50803,CENTRO UNIVERSITÁRIO DE CARATINGA
51056,CENTRO UNIVERSITÁRIO ASSUNÇÃO
51907,UNIVERSIDADE DE FORTALEZA
51908,UNIVERSIDADE DE SANTA CRUZ DO SUL
51923,CENTRO UNIVERSITÁRIO DA REGIÃO DA CAMPANHA
