COD_POSICAO,SG_AREA,COD_ITEM,DESC_GABARITO,COD_HABILIDADE,ITEN_ABANDONO,DESC_MOTIVO_ABANDONO,NUM_PARAMETRO_A,NUM_PARAMETRO_B,NUM_PARAMETRO_C,COD_PROVA,DESC_COR_PROVA,COD_TIPO_LINGUA,COD_ITEM_ADPTADO,DATA_PROCESSAMENTO
134,CN,19227,B,14,0,,2.39928,1.65732,0.14967,911,CINZA,,,10/12/2022
95,CN,54959,B,1,0,,2.15669,1.23172,0.29573,911,CINZA,,,10/12/2022
98,CN,63600,B,15,0,,2.78598,1.12828,0.24608,911,CINZA,,,10/12/2022
101,CN,117867,E,12,0,,2.57831,1.34841,0.19923,911,CINZA,,,10/12/2022
118,CN,89864,C,17,0,,2.59028,1.66716,0.26726,911,CINZA,,,10/12/2022
110,CN,60284,C,6,0,,1.89764,1.77374,0.22707,911,CINZA,,,10/12/2022
112,CN,98020,B,8,0,,1.36007,1.79781,0.13996,911,CINZA,,,10/12/2022
121,CN,81640,B,21,0,,1.7041,1.93672,0.18178,911,CINZA,,,10/12/2022
120,CN,117627,C,2,0,,2.28165,0.59099,0.22224,911,CINZA,,,10/12/2022
116,CN,48911,C,25,0,,1.98857,1.61387,0.29096,911,CINZA,,,10/12/2022
97,CN,117843,A,27,0,,4.13911,0.76309,0.13487,911,CINZA,,,10/12/2022
127,CN,88403,D,5,0,,2.9738,1.96749,0.12076,911,CINZA,,,10/12/2022
115,CN,117898,B,3,0,,2.68999,0.6514,0.15907,911,CINZA,,,10/12/2022
107,CN,117795,B,10,0,,3.24877,1.21839,0.09433,911,CINZA,,,10/12/2022
129,CN,46813,D,18,0,,2.76737,1.53283,0.1128,911,CINZA,,,10/12/2022
109,CN,117891,C,22,0,,0.81733,2.29106,0.15388,911,CINZA,,,10/12/2022
105,CN,111544,A,22,0,,2.35776,1.39005,0.14902,911,CINZA,,,10/12/2022
99,CN,12401,E,19,0,,1.83234,0.97623,0.19551,911,CINZA,,,10/12/2022
114,CN,126594,A,9,0,,2.7664,0.51395,0.30712,911,CINZA,,,10/12/2022
91,CN,97577,C,16,0,,1.73579,-0.23373,0.13306,911,CINZA,,,10/12/2022
93,CN,87718,B,16,0,,3.29305,1.87858,0.17777,911,CINZA,,,10/12/2022
